2020-10-26 22:52:13.8004 | SobelEdgeDetection.ImageProcessingForm.btnOpen_Click | DEBUG | Загружаем изображение из выбранного пути файла | 

2020-10-26 22:52:13.8318 | SobelEdgeDetection.ImageProcessingForm.btnOpen_Click | DEBUG | Изображение успешно загруженно | 

2020-10-26 22:52:15.1574 | SobelEdgeDetection.Filters.Sobel.Make | DEBUG | Получаем изображение в обработкуSystem.Drawing.Bitmap | 

2020-10-26 22:52:15.1574 | SobelEdgeDetection.Filters.Sobel.Make | DEBUG | Обработка изображения через алгоритм | 

2020-10-26 22:52:15.1574 | SobelEdgeDetection.Filters.Gray.Make | DEBUG | Получаем изображение в обработкуSystem.Drawing.Bitmap | 

2020-10-26 22:52:15.1574 | SobelEdgeDetection.Filters.Gray.Make | DEBUG | Преобразование RGB каналаSystem.Drawing.Bitmap | 

2020-10-26 22:52:15.8612 | SobelEdgeDetection.Filters.Gray.Make | DEBUG | Изображение успешно преобразовано. Затраченное время (мс): 20 | 

2020-10-26 22:52:20.8152 | SobelEdgeDetection.Filters.Sobel.Make | DEBUG | Обработка прошла успешно. Затраченное время (мс): 20 | 

2020-10-26 22:52:22.0158 | SobelEdgeDetection.Managers.FileManager.SaveFile | DEBUG | Сохраняем полученное изображение | 

2020-10-26 22:52:22.0158 | SobelEdgeDetection.Managers.FileManager.SaveFile | DEBUG | Изображение успешно сохранено | 

